alpha_deg,camber,thickness,CL,CD
5.645209,0.073405,0.166455,1.394285,0.033666
10.260526,0.035915,0.090644,1.175248,0.030909
7.447772,0.065893,0.203769,1.517280,0.027424
4.309923,0.044666,0.175332,1.530119,0.019759
3.671227,0.010060,0.163602,1.035073,0.020076
-2.445448,0.084101,0.090485,1.258449,0.032888
-1.565526,0.017432,0.092835,0.471828,0.010963
7.129095,0.054026,0.191592,1.533198,0.022963
10.644323,0.088925,0.190560,1.132073,0.070697
0.791239,0.013361,0.080371,0.608287,0.011729
6.451048,0.068429,0.127814,1.240600,0.040154
9.125908,0.007677,0.187459,1.422041,0.031072
7.374016,0.072472,0.077592,0.934840,0.066348
1.866037,0.051807,0.184501,1.571473,0.018672
-2.140053,0.033019,0.229502,1.386956,0.022992
13.639047,0.020351,0.131481,1.310193,0.027389
11.863501,0.086274,0.212640,1.197967,0.064940
-1.201472,0.005592,0.073203,0.056282,0.010276
12.058967,0.053297,0.104174,1.053694,0.052251
-0.913748,0.047574,0.223594,1.603002,0.022289
13.866319,0.039176,0.121983,1.178882,0.039575
6.247000,0.004829,0.152604,1.165903,0.023861
10.088159,0.085226,0.137345,0.965132,0.081887
15.112657,0.050207,0.226665,1.445015,0.034799
10.829319,0.056489,0.178695,1.383489,0.033712
5.343723,0.023136,0.174009,1.457022,0.024855
11.688594,0.069494,0.060604,0.720618,0.094679
-3.281277,0.021767,0.102899,0.423047,0.010889
-1.604542,0.055719,0.112700,1.430166,0.015118
7.907625,0.089855,0.221098,1.375182,0.048038
10.569538,0.071373,0.228397,1.459823,0.036433
5.123796,0.037529,0.107465,1.340796,0.019447
9.727637,0.049421,0.111988,1.200631,0.036436
14.207620,0.024382,0.074941,1.063165,0.036933
9.546826,0.066628,0.065798,0.851069,0.073279
3.256622,0.046396,0.165710,1.519887,0.018793
3.180722,0.079288,0.068180,0.986938,0.058312
-0.640473,0.045625,0.129157,1.450465,0.016291
6.764645,0.016329,0.134235,1.365255,0.023273
-3.943893,0.026611,0.213671,0.684607,0.014616
2.083180,0.011115,0.088648,0.702282,0.012959
12.916839,0.075563,0.188711,1.169278,0.061491
-0.065972,0.076370,0.207414,1.658736,0.018211
-0.517529,0.059246,0.096135,1.353229,0.018300
14.883788,0.087888,0.078736,0.505541,0.153482
0.595439,0.063037,0.154532,1.526250,0.017741
4.043453,0.001726,0.156324,0.698169,0.016608
1.701859,0.043256,0.139971,1.464266,0.017512
11.505302,0.087060,0.124203,0.824156,0.101310
0.295866,0.034705,0.171561,1.493064,0.021558
6.834742,0.028893,0.115548,1.349148,0.020172
-3.710807,0.077302,0.235190,1.719814,0.017404
-2.256247,0.030907,0.159491,1.056868,0.015316
4.846271,0.079103,0.105151,1.103236,0.053709
0.153957,0.018866,0.109401,0.784225,0.013090
13.325816,0.062253,0.231345,1.438550,0.037192
-0.263428,0.015342,0.099076,0.570787,0.011704
-3.103011,0.000670,0.207715,-0.504587,0.016618
14.767078,0.038660,0.082617,0.980928,0.052161
-2.798475,0.081097,0.217053,1.708510,0.016482
11.221842,0.006396,0.172466,1.397152,0.029996
14.136814,0.020905,0.143409,1.337330,0.027911
12.325268,0.071015,0.069456,0.720645,0.098083
8.947508,0.002757,0.151366,1.351563,0.029061
6.175448,0.077552,0.149724,1.269625,0.044146
8.164146,0.057961,0.236626,1.610252,0.023784
1.560713,0.064521,0.116201,1.368850,0.023329
2.205635,0.082349,0.183941,1.515152,0.027585
-3.402787,0.061893,0.119163,1.469036,0.014340
5.464468,0.004390,0.195889,1.139949,0.025714
2.661148,0.009377,0.095640,0.722197,0.013602
9.239175,0.041656,0.125270,1.312671,0.027255
15.973788,0.052989,0.157330,1.135303,0.054419
12.720484,0.051029,0.181521,1.367843,0.034882
8.267427,0.067540,0.205284,1.488284,0.030318
14.415038,0.048578,0.132801,1.132016,0.048869
15.273205,0.074605,0.138947,0.860919,0.093545
15.716177,0.060330,0.064327,0.673922,0.101251
-1.986605,0.019076,0.179759,0.588441,0.013551
9.843047,0.024284,0.220004,1.516394,0.028551
4.634114,0.028083,0.210781,1.520938,0.026560
-2.906154,0.057055,0.198838,1.609648,0.018549
-1.120621,0.030229,0.194326,1.306669,0.020484
2.514824,0.042613,0.224039,1.585635,0.023561
8.509221,0.027677,0.169374,1.463973,0.023316
5.850797,0.080265,0.101210,1.032566,0.062207
8.786688,0.036365,0.201937,1.536540,0.023771
11.035067,0.060021,0.162341,1.286757,0.040629
12.415806,0.014251,0.198088,1.458033,0.029843
2.969277,0.065596,0.234562,1.669634,0.019770
13.188921,0.040343,0.085104,1.032967,0.046585
15.481771,0.011987,0.086291,1.136925,0.030977
3.936402,0.002246,0.215025,0.812564,0.020744
0.829774,0.034161,0.072273,1.266143,0.015189
1.152651,0.041176,0.062572,1.229033,0.016633
4.516748,0.032356,0.120527,1.383813,0.018693
7.695249,0.015208,0.146700,1.385057,0.024717
3.589608,0.008168,0.146222,0.897531,0.017621
1.231285,0.082888,0.141037,1.373013,0.033115
13.439595,0.025398,0.238844,1.535089,0.029896
